cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-01,100.0,18.8,25.9,18.8,30.6,22.4,20.0,31.8,17.6,40.0,40.0,28.2,20.0,22.4,18.8,20.0,21.2,29.4,21.2,22.4,18.8,45.9,37.6,30.6
2024-02,100.0,18.5,15.4,18.5,21.5,13.8,16.9,16.9,43.1,29.2,16.9,26.2,9.2,16.9,15.4,23.1,21.5,23.1,15.4,23.1,40.0,30.8,23.1,
2024-03,100.0,23.9,21.7,30.4,30.4,26.1,8.7,50.0,26.1,32.6,32.6,13.0,30.4,17.4,19.6,21.7,15.2,21.7,17.4,41.3,30.4,17.4,,
2024-04,100.0,26.8,24.4,26.8,22.0,22.0,39.0,29.3,14.6,26.8,14.6,24.4,17.1,22.0,12.2,24.4,19.5,14.6,43.9,29.3,17.1,,,
2024-05,100.0,21.8,14.5,25.5,21.8,45.5,25.5,23.6,25.5,21.8,14.5,14.5,27.3,25.5,27.3,23.6,9.1,38.2,12.7,23.6,,,,
2024-06,100.0,29.2,22.9,18.8,43.8,22.9,20.8,29.2,22.9,14.6,20.8,12.5,29.2,18.8,22.9,20.8,37.5,45.8,20.8,,,,,
2024-07,100.0,26.5,5.9,35.3,14.7,17.6,23.5,23.5,23.5,11.8,11.8,17.6,11.8,14.7,14.7,32.4,20.6,20.6,,,,,,
2024-08,100.0,18.8,29.2,27.1,25.0,18.8,12.5,18.8,12.5,16.7,10.4,8.3,25.0,8.3,37.5,18.8,16.7,,,,,,,
2024-09,100.0,38.0,26.0,18.0,22.0,10.0,12.0,24.0,20.0,10.0,12.0,28.0,26.0,24.0,22.0,18.0,,,,,,,,
2024-10,100.0,33.8,19.7,9.9,9.9,19.7,12.7,15.5,14.1,12.7,16.9,14.1,28.2,21.1,16.9,,,,,,,,,
2024-11,100.0,34.7,4.1,12.2,6.1,10.2,16.3,10.2,6.1,16.3,12.2,24.5,20.4,18.4,,,,,,,,,,
2024-12,100.0,39.1,19.6,17.4,28.3,34.8,19.6,8.7,17.4,23.9,32.6,13.0,26.1,,,,,,,,,,,
2025-01,100.0,52.8,13.9,19.4,13.9,25.0,11.1,25.0,16.7,22.2,22.2,8.3,,,,,,,,,,,,
2025-02,100.0,45.9,10.8,10.8,21.6,10.8,10.8,13.5,35.1,29.7,21.6,,,,,,,,,,,,,
2025-03,100.0,31.7,17.1,29.3,12.2,9.8,12.2,34.1,22.0,9.8,,,,,,,,,,,,,,
2025-04,100.0,40.0,13.3,13.3,16.7,3.3,20.0,13.3,10.0,,,,,,,,,,,,,,,
2025-05,100.0,43.9,14.6,14.6,7.3,39.0,26.8,22.0,,,,,,,,,,,,,,,,
2025-06,100.0,28.6,11.9,7.1,21.4,14.3,23.8,,,,,,,,,,,,,,,,,
2025-07,100.0,40.0,13.3,26.7,20.0,16.7,,,,,,,,,,,,,,,,,,
2025-08,100.0,60.0,27.5,30.0,12.5,,,,,,,,,,,,,,,,,,,
2025-09,100.0,60.5,18.4,26.3,,,,,,,,,,,,,,,,,,,,
2025-10,100.0,46.7,20.0,,,,,,,,,,,,,,,,,,,,,
2025-11,100.0,6.2,,,,,,,,,,,,,,,,,,,,,,
2025-12,100.0,,,,,,,,,,,,,,,,,,,,,,,
