customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
337,5,11,304090.56,4,4,4,12,Champions
612,8,8,310793.44,4,4,4,12,Champions
507,26,10,317775.62,4,4,4,12,Champions
113,3,13,322027.55,4,4,4,12,Champions
514,10,14,324219.15,4,4,4,12,Champions
215,9,10,329183.84,4,4,4,12,Champions
71,0,10,331771.63,4,4,4,12,Champions
158,10,9,336123.68,4,4,4,12,Champions
632,38,10,339046.83,4,4,4,12,Champions
680,14,13,345078.89,4,4,4,12,Champions
938,4,9,357870.95,4,4,4,12,Champions
179,0,12,359232.65,4,4,4,12,Champions
1118,2,9,360304.84,4,4,4,12,Champions
1084,3,12,363541.2,4,4,4,12,Champions
1091,17,8,366270.95,4,4,4,12,Champions
1149,0,8,366294.66,4,4,4,12,Champions
1177,33,11,369358.02,4,4,4,12,Champions
474,21,10,386293.77,4,4,4,12,Champions
954,34,15,394737.91,4,4,4,12,Champions
672,7,15,396924.93,4,4,4,12,Champions
1089,40,17,401638.44,4,4,4,12,Champions
1125,40,12,405893.47,4,4,4,12,Champions
8,5,9,409264.81,4,4,4,12,Champions
377,37,14,413231.57,4,4,4,12,Champions
505,9,8,416479.35,4,4,4,12,Champions
463,3,9,422413.04,4,4,4,12,Champions
200,14,9,426356.5,4,4,4,12,Champions
790,9,13,426658.2,4,4,4,12,Champions
413,4,17,427257.07,4,4,4,12,Champions
948,22,12,429793.27,4,4,4,12,Champions
367,19,19,442861.09,4,4,4,12,Champions
262,30,16,445817.15,4,4,4,12,Champions
509,2,8,445915.73,4,4,4,12,Champions
1196,8,12,449292.15,4,4,4,12,Champions
796,2,13,453982.34,4,4,4,12,Champions
404,8,9,455506.27,4,4,4,12,Champions
26,25,10,467905.3,4,4,4,12,Champions
34,19,17,471551.03,4,4,4,12,Champions
531,10,10,474081.76,4,4,4,12,Champions
519,7,15,481131.05,4,4,4,12,Champions
676,31,19,490771.96,4,4,4,12,Champions
365,35,13,491674.22,4,4,4,12,Champions
892,21,13,491907.35,4,4,4,12,Champions
541,7,19,500683.16,4,4,4,12,Champions
391,17,18,513486.99,4,4,4,12,Champions
906,28,14,514770.46,4,4,4,12,Champions
314,33,23,521059.69,4,4,4,12,Champions
815,33,14,524753.76,4,4,4,12,Champions
854,3,10,527879.81,4,4,4,12,Champions
1122,5,17,539432.5,4,4,4,12,Champions
595,0,9,546016.43,4,4,4,12,Champions
1105,15,21,547713.02,4,4,4,12,Champions
422,0,12,547893.86,4,4,4,12,Champions
552,3,10,554267.71,4,4,4,12,Champions
536,9,14,560910.59,4,4,4,12,Champions
807,31,11,563021.69,4,4,4,12,Champions
647,2,10,571250.0,4,4,4,12,Champions
155,7,16,571340.67,4,4,4,12,Champions
797,20,13,575117.15,4,4,4,12,Champions
250,5,13,580807.9,4,4,4,12,Champions
394,15,12,581481.24,4,4,4,12,Champions
728,0,8,594731.74,4,4,4,12,Champions
89,2,11,598965.91,4,4,4,12,Champions
582,9,22,602038.56,4,4,4,12,Champions
726,12,10,613910.86,4,4,4,12,Champions
447,3,17,614986.59,4,4,4,12,Champions
1051,14,13,641924.77,4,4,4,12,Champions
229,6,13,656047.24,4,4,4,12,Champions
848,0,22,661496.22,4,4,4,12,Champions
193,30,13,672148.22,4,4,4,12,Champions
786,14,18,677405.96,4,4,4,12,Champions
808,16,14,686866.57,4,4,4,12,Champions
619,11,10,690060.96,4,4,4,12,Champions
1053,0,16,691751.85,4,4,4,12,Champions
732,36,13,715516.01,4,4,4,12,Champions
870,1,18,720751.81,4,4,4,12,Champions
192,8,13,726303.51,4,4,4,12,Champions
53,8,18,726581.36,4,4,4,12,Champions
1181,22,16,727582.59,4,4,4,12,Champions
1172,10,18,753823.07,4,4,4,12,Champions
199,24,11,764800.23,4,4,4,12,Champions
1102,4,19,789439.97,4,4,4,12,Champions
662,34,16,805242.18,4,4,4,12,Champions
576,41,18,855493.86,4,4,4,12,Champions
465,9,16,858132.62,4,4,4,12,Champions
